items;java.util.ArrayList;java.util.LinkedList;java.util.Vector
0;0;0;0
10000;9;49;8
20000;25;261;21
30000;45;836;45
40000;80;1560;82
50000;126;2663;125
60000;180;4107;183
70000;248;6080;247
80000;326;8202;327
90000;425;12481;444
100000;533;17562;524
110000;650;17377;641
120000;780;22179;773
130000;922;32748;976
140000;1086;35710;1082
150000;1244;40850;1254
160000;1441;26448;1424
170000;1695;64774;1637
180000;1839;84577;1845
190000;2062;112621;2041
200000;2281;94866;2277
210000;2533;121678;2631
220000;2972;121691;2823
230000;3065;144810;3065
240000;3336;157917;3341
250000;3654;212455;3638
260000;3937;197157;3942
270000;4262;220809;4250
280000;4575;182282;4626
290000;4955;290167;4944
300000;5376;360412;5305
310000;5668;356508;5684
320000;6068;395540;6150
330000;6435;437994;6468
340000;6901;485913;6882
350000;7283;529994;7302
360000;7735;577570;7748
370000;8177;623493;8147
380000;8725;690620;8639
390000;9106;729221;9260
400000;9594;790922;9586
410000;10205;862549;10088
420000;10608;357764;10607
430000;11130;976808;11273
440000;11633;1050811;11653
450000;12195;1123961;12184
460000;12764;1245514;12778
470000;13348;739354;13335
480000;13958;1339289;13958
490000;14501;1418503;14491
500000;15247;1482088;15109
510000;16488;1574796;15724
520000;16338;1364428;16400
530000;16993;1772913;17051
540000;17682;737310;17686
550000;18359;1944647;18368
560000;19035;1433491;19041
570000;19735;2177807;19712
580000;20399;2206196;20381
590000;22014;2313242;21195
600000;21904;2404909;21863
610000;22655;1038106;22682
620000;23592;2648248;23370
630000;24309;2715385;24172
640000;25037;1876571;24954
650000;25776;2943850;25952
660000;26557;3054085;26661
670000;27516;1468180;27392
680000;29789;3216682;28644
690000;29059;3431577;29156
700000;29989;3538317;30010
710000;30899;3664523;30908
720000;31752;3788822;31945
730000;32622;3916912;32979
740000;33539;4050693;33639
750000;34540;4184546;35060
760000;35357;3150882;35590
770000;36453;2272829;36351
780000;37443;2195876;37389
790000;40204;3533351;38437
800000;39812;4881738;43575
810000;40378;3332707;40377
820000;41659;4318508;41426
830000;42525;4919386;42492
840000;43458;4324483;43391
850000;44335;3048509;44449
860000;46153;5787174;46047
870000;46707;4192218;46824
880000;47841;3304135;47701
890000;49778;6255719;49366
900000;50076;5872245;50489
910000;51265;5689371;51561
920000;52419;6083195;52705
930000;53574;6470256;53961
940000;55518;4638672;54621
950000;56457;3515282;55867
960000;57281;3824046;58507
970000;58336;6676243;58747
980000;60763;4453206;59671
990000;61394;3813215;62563
1000000;61983;7178410;62518
