items;java.util.ArrayList;java.util.LinkedList;java.util.Vector
0;0;0;0
10000;0;0;0
20000;0;0;1
30000;0;0;1
40000;1;0;1
50000;1;1;1
60000;1;1;1
70000;0;1;2
80000;1;1;2
90000;2;1;2
100000;2;1;3
110000;1;2;3
120000;2;1;4
130000;1;2;4
140000;1;2;4
150000;2;2;4
160000;2;3;4
170000;2;3;5
180000;2;3;5
190000;3;2;6
200000;2;3;6
210000;3;3;5
220000;2;4;5
230000;2;4;6
240000;3;3;7
250000;4;3;7
260000;4;4;7
270000;4;4;7
280000;4;4;7
290000;4;4;8
300000;3;5;7
310000;4;4;8
320000;5;4;9
330000;4;5;10
340000;4;5;10
350000;5;5;10
360000;4;6;10
370000;6;5;11
380000;6;6;11
390000;5;7;15
400000;5;7;11
410000;5;7;11
420000;5;6;11
430000;6;37;10
440000;4;5;11
450000;5;4;11
460000;5;4;11
470000;5;4;12
480000;5;4;12
490000;5;4;12
500000;5;5;12
510000;5;5;12
520000;5;5;13
530000;5;5;13
540000;5;5;13
550000;6;6;12
560000;7;6;13
570000;7;5;14
580000;6;6;13
590000;7;5;15
600000;6;5;15
610000;6;6;15
620000;7;5;15
630000;7;8;15
640000;7;6;16
650000;6;7;15
660000;6;7;18
670000;6;7;17
680000;7;6;17
690000;7;7;18
700000;7;7;19
710000;8;6;18
720000;9;7;18
730000;8;8;18
740000;7;7;19
750000;8;7;18
760000;8;7;19
770000;7;7;10
780000;7;46;9
790000;8;8;9
800000;8;8;10
810000;8;7;10
820000;9;8;10
830000;9;8;10
840000;10;8;10
850000;9;8;10
860000;10;8;10
870000;10;8;11
880000;10;8;12
890000;10;8;11
900000;10;9;10
910000;10;9;11
920000;10;9;11
930000;10;9;11
940000;11;9;11
950000;11;9;11
960000;11;9;11
970000;11;9;12
980000;10;10;11
990000;11;9;12
1000000;11;9;12
